type,message,cleaned_message
0,I‰Û÷m going to try for 2 months ha ha only joking,iûm going try 2 months ha ha joking
0,So Ì_ pay first lar... Then when is da stock comin...,ì_ pay first lar da stock comin
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
0,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
0,Lol your always so convincing.,lol always convincing
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg make tea eating mom left dinner feel love
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",back amp packing car let know room
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still clear sure sarcastic x nt want live us
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wo nt go badly cheers
0,K tell me anything about you.,k tell anything
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework quick cuppa
1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone uk mobile charged å5month please confirm replying yes reply charged
0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timings msg ì_ xuhui going learn 2nd may lesson 8am
0,"Oops, I'll let you know when my roommate's done",oops let know roommate done
0,I see the letter B on my car,see letter b car
0,Anything lor... U decide...,anything lor u decide
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday go texting see decided anything tomo trying invite anything
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts wanted sure great weekend abiola
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummy
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
0,WHO ARE YOU SEEING?,seeing
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed lt gt inches
0,No calls..messages..missed calls,calls messages missed calls
0,Didn't you get hep b immunisation in nigeria.,nt get hep b immunisation nigeria
0,"Fair enough, anything going on?",fair enough anything going
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler ca nt could maybe ask around bit
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u nt know stubborn nt even want go hospital kept telling mark weak sucker hospitals weak suckers
0,What you thinked about me. First time you saw me in class.,thinked first time saw class
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning crashing place tonight
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry nt nt give sorry offered sorry room embarassing
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lt url gt
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
0,"Sorry, I'll call later in meeting.",sorry call later meeting
0,Tell where you reached,tell reached
0,Yes..gauti and sehwag out of odi series.,yes gauti sehwag odi series
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gon na pick 1 burger way home ca nt even move pain killing
0,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls situation seekers
0,Its a part of checking IQ,part checking iq
0,"Sorry my roommates took forever, it ok if I come by now?",sorry roommates took forever ok come
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded å1500 bonus prize call 09066364589
0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day song u dedicate send ur valuable frnds first rply
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav aco entry41 å1000 claim txt dis 87121 186 å150 morefrmmob shracomorsglsuplt 10 ls1 3aj
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce barbie comes ken stuff
0,I plane to give on this month end.,plane give month end
0,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee
0,Finished class where are you.,finished class
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wan na something xx
0,K..k:)where are you?how did you performed?,k k performed
0,U can call me now...,u call
0,I am waiting machan. Call me once you free.,waiting machan call free
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect
0,I like you peoples very much:) but am very shy pa.,like peoples much shy pa
0,Does not operate after  &lt;#&gt;  or what,operate lt gt
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,still looking job much ta earn
0,"Sorry, I'll call later",sorry call later
0,K. Did you call me just now ah? ,k call ah
0,Ok i am on the way to home hi hi,ok way home hi hi
0,You will be in the place of that man,place man
0,Yup next stop.,yup next stop
0,"I call you later, don't have network. If urgnt, sms me.",call later nt network urgnt sms
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u getting yo need 2 tickets one jacket done already used multis
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes started send requests make pain came back back bed double coins factory got ta cash nitros
0,I'm really not up to it still tonight babe,really still tonight babe
0,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
0,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,yeah donût stand close tho youûll catch something
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night spent late afternoon casualty means nt done stuff42moro includes time sheets sorry
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative 0800 169 6031 10am9pm guaranteed å1000 cash å5000 prize
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later check already lido got 530 show e afternoon u finish work already
1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
0,Watching telugu movie..wat abt u?,watching telugu movie wat abt u
0,i see. When we finish we have loads of loans to pay,see finish loads loans pay
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
0,Please don't text me anymore. I have nothing else to say.,please nt text anymore nothing else say
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick u ave x ams xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,still looking car buy gone 4the driving test yet
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow right nt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
0,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot wishes birthday thanks making birthday truly memorable
0,"Aight, I'll hit you up when I get some cash",aight hit get cash
0,How would my ip address test that considering my computer isn't a minecraft server,would ip address test considering computer nt minecraft server
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like better lying always one play jokes
0,Dont worry. I guess he's busy.,dont worry guess busy
0,What is the plural of the noun research?,plural noun research
0,Going for dinner.msg you after.,going dinnermsg
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ok wif cos like 2 try new things scared u dun like mah cos u said loud
1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent trying contact last weekends draw shows å1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went
1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u specially selected 2 receive å1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes must speak friday eggpotato ratio tortilla needed
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncle informed paying school directly pls buy food
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires
1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile awarded å2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm
0,here is my new address -apples&pairs&all that malarky,new address apples pairs malarky
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app
0,I am going to sao mu today. Will be done only at 12 ,going sao mu today done 12
0,ÌÏ predict wat time Ì_'ll finish buying?,ìï predict wat time ì_ finish buying
0,"Good stuff, will do.",good stuff
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",know yetunde nt sent money yet sent text bother sending dont involve anything nt imposed anything first place apologise
0,Are you there in room.,room
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,K..k:)how much does it cost?,k k much cost
0,I'm home.,home
0,"Dear, will call Tmorrow.pls accomodate.",dear call tmorrowpls accomodate
0,First answer my question.,first answer question
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 å150 sp tyrone
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31pmsg 150p
0,I only haf msn. It's yijue@hotmail.com,haf msn yijue hotmailcom
0,He is there. You call and meet him,call meet
0,No no. I will check all rooms befor activities,check rooms befor activities
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try
0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,got c lazy type forgot ì_ lect saw pouch like v nice
0,"K, text me when you're on the way",k text way
0,"Sir, Waiting for your mail.",sir waiting mail
0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt thought nver get tired little things 4 lovable persons coz somtimes little things occupy biggest part hearts gud ni8
0,I know you are. Can you pls open the back?,know pls open back
0,Yes see ya not on the dot,yes see ya dot
0,Whats the staff name who is taking class for us?,whats staff name taking class us
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg nt replied text randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummmawill call check inour life begin qatar pls pray hard
0,K..i deleted my contact that why?,k deleted contact
0,Sindu got job in birla soft ..,sindu got job birla soft
0,The wine is flowing and i'm i have nevering..,wine flowing nevering
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better cos need 2 go 2 plaza mah
0,Ok... Ur typical reply...,ok ur typical reply
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
0,Aaooooright are you at work?,aaooooright work
0,I'm leaving my house now...,leaving house
0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love get interview today happy good boy think missing
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery
1,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u specially selected 2 receive å1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe need miss already envy everyone see real life
0,New car and house for my parents.:)i have only new job in hand:),new car house parents new job hand
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,love excited day spend make happy
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
0,I place all ur points on e cultures module already.,place ur points e cultures module already
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent trying contact last weekends draw shows å900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstding wit beloved one
0,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape fancy bridge needs lager see tomo
0,Yes :)it completely in out of form:)clark also utter waste.,yes completely form clark also utter waste
0,"Sir, I need AXIS BANK account no and bank address.",sir need axis bank account bank address
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
0,What time you coming down later? ,time coming later
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell cant believe forgot surname mr ill give u clue spanish begins
0,"Well, i'm gonna finish my bath now. Have a good...fine night.",well gon na finish bath good fine night
0,Let me know when you've got the money so carlos can make the call,let know got money carlos make call
0,U still going to the mall?,u still going mall
0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turns friends staying whole show wo nt back til lt gt feel free go ahead smoke lt gt worth
0,Text her. If she doesnt reply let me know so i can have her log in,text doesnt reply let know log
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi spoke maneesha v like know satisfied experience reply toll free yes
0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend
0,Lol no. U can trust me.,lol u trust
0,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat dignity respect
0,"He will, you guys close?",guys close
0,Going on nothing great.bye,going nothing greatbye
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome finding job lazy working towards getting back net mummy boytoy miss
0,"Haha awesome, be there in a minute",haha awesome minute
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed å1000 cash å5000 prize
0,Have you got Xmas radio times. If not i will get it now,got xmas radio times get
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,jus reached home go bathe first sis using net tell u finishes k
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough find 30th august wwwareyouuniquecouk
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week
0,Hi :)finally i completed the course:),hi finally completed course
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop however suggest stays someone able give ors every stool
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope settled new school year wishin gr8 day
0,Gud mrng dear hav a nice day,gud mrng dear hav nice day
0,Did u got that persons story,u got persons story
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet 1pm orchard mrt
0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
0,"Found it, ENC  &lt;#&gt; , where you at?",found enc lt gt
0,I sent you  &lt;#&gt;  bucks,sent lt gt bucks
0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finished college txt u finish u love kate xxx
0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
0,Goodmorning sleeping ga.,goodmorning sleeping ga
0,U call me alter at 11 ok.,u call alter 11 ok
0,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,ìï say like dat dun buy ericsson oso oredi lar
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went
0,"Aight yo, dats straight dogg",aight yo dats straight dogg
0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,please give us connection today lt decimal gt refund bill
0,Both :) i shoot big loads so get ready!,shoot big loads get ready
0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",bruv hope great break rewarding semester
0,Home so we can always chat,home always chat
0,K:)k:)good:)study well.,k k good study well
0,Yup... How Ì_ noe leh...,yup ì_ noe leh
0,Sounds great! Are you home now?,sounds great home
0,Finally the match heading towards draw as your prediction.,finally match heading towards draw prediction
0,Tired. I haven't slept well the past few nights.,tired nt slept well past nights
0,Easy ah?sen got selected means its good..,easy ah sen got selected means good
0,I have to take exam with march 3,take exam march 3
0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm register sure anyway help let know sure ready
0,Ok no prob. Take ur time.,ok prob take ur time
0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,os called ubandu run without installing hard disk use os copy important files system give repair shop
0,"Sorry, I'll call later",sorry call later
0,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",500 new mobiles 2004 must go txt nokia 89545 collect today å1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,Would really appreciate if you call me. Just need someone to talk to.,would really appreciate call need someone talk
1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries
0,Hey company elama po mudyadhu.,hey company elama po mudyadhu
0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
0,Dear good morning now only i am up,dear good morning
0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,Dear we are going to our rubber place,dear going rubber place
0,"Sorry battery died, yeah I'm here",sorry battery died yeah
0,Yes:)here tv is always available in work place..,yes tv always available work place
1,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recd thirtyeight pence
0,I have printed it oh. So  &lt;#&gt;  come upstairs,printed oh lt gt come upstairs
0,Or ill be a little closer like at the bus stop on the same street,ill little closer like bus stop street
0,Where are you?when wil you reach here?,wil reach
0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theory argument wins situation loses person dont argue ur friends kick amp say always correct
1,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,u 447801259231 secret admirer looking 2 make contact ufind r reveal thinks ur specialcall 09058094597
